INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Eastbound Southland Drive at Acadia Drive SE,2 vehicle incident.,02/10/2017 10:46:22 AM,02/10/2017 10:47:03 AM,SE,-114.048428087625,50.9639865551523,"(50.9639865551523, -114.048428087625)",1
Northbound Deerfoot Trail north of Peigan Trail SE,There is an incident involving a pedestrian blocking the right lane.,02/10/2017 11:47:19 AM,02/10/2017 11:55:47 AM,NW,-114.005256240554,51.01500137989,"(51.01500137989, -114.005256240554)",1
Northbound Deerfoot Trail at Glenmore Trail SE,2 vehicle incident in the right lane.,02/10/2017 12:31:01 PM,02/10/2017 12:33:53 PM,SE,-114.039173086226,50.9941566757218,"(50.9941566757218, -114.039173086226)",1
Southbound Deerfoot Trail at Peigan Trail SE,Multi vehicle incident blocking the left lane,02/10/2017 02:45:49 PM,02/10/2017 02:47:19 PM,SE,-114.005256240554,51.01500137989,"(51.01500137989, -114.005256240554)",1
On the 4 Avenue Flyover past Memorial Drive NE,2 vehicle incident.,02/10/2017 04:42:20 PM,02/10/2017 04:43:20 PM,NE,-114.053362965534,51.049558420309,"(51.049558420309, -114.053362965534)",1
Westbound Memorial Drive at Deerfoot Trail NE,2 vehicle incident.,02/10/2017 05:57:49 PM,02/10/2017 05:59:28 PM,NE,-114.019133128011,51.0535627199567,"(51.0535627199567, -114.019133128011)",1
Taradale Drive at Falconridge Boulevard NE,Multi vehicle incident.,02/10/2017 07:18:28 PM,02/10/2017 07:20:57 PM,NE,-113.946850550569,51.1141920435554,"(51.1141920435554, -113.946850550569)",1
Westbound Glenmore Trail at Macleod Trail SW,Multi vehicle incident,02/10/2017 09:43:29 PM,02/10/2017 09:45:23 PM,SW,-114.06722189307,50.9942681436568,"(50.9942681436568, -114.06722189307)",1
5 Street at 7 Avenue SW,2 vehicle incident,02/11/2017 12:04:24 AM,02/11/2017 12:05:27 AM,SW,-114.073812620485,51.0468208900532,"(51.0468208900532, -114.073812620485)",1
Southbound Stoney Trail at 16 Avenue NW,Single vehicle incident.,02/11/2017 06:15:36 AM,02/11/2017 06:17:54 AM,NW,-113.929731671065,51.0670302472081,"(51.0670302472081, -113.929731671065)",1
17 Avenue east of 45 Street SW,Single vehicle incident.,02/11/2017 10:12:36 AM,02/11/2017 10:15:42 AM,SW,-114.152816649302,51.0378028280234,"(51.0378028280234, -114.152816649302)",1
Southbound Stoney Trail to Eastbound Country Hills Boulevard NW,2 vehicle incident.,02/11/2017 10:28:17 AM,02/11/2017 10:48:04 AM,NW,-114.209535231494,51.1470209540732,"(51.1470209540732, -114.209535231494)",1
Bow Trail at 37 Street SW,"Signal lights are flashing red, crews have been dispatched.",02/11/2017 10:46:25 AM,02/11/2017 10:48:04 AM,SW,-114.141130803982,51.0451719430305,"(51.0451719430305, -114.141130803982)",1
Northbound Deerfoot Trail approaching Anderson Road SE,Single vehicle incident in the right lane.,02/11/2017 11:00:59 AM,02/11/2017 11:23:35 AM,SE,-114.033912316884,50.9483419251775,"(50.9483419251775, -114.033912316884)",1
Brisebois Drive at John Laurie Boulevard NW,2 vehicle incident.,02/11/2017 11:21:54 AM,02/11/2017 11:23:35 AM,NW,-114.128117015521,51.102489930933,"(51.102489930933, -114.128117015521)",1
Macleod Trail at 86 Avenue SE,"Signal light are flashing red, crews have been dispatched.",02/11/2017 12:08:57 PM,02/11/2017 12:09:55 PM,NW,-114.071692939683,50.9759071805882,"(50.9759071805882, -114.071692939683)",1
John Laurie Boulevard at Nose Hill Drive NW,2 vehicle incident.,02/11/2017 01:00:15 PM,02/11/2017 01:23:35 PM,NW,-114.194895145176,51.1274203463215,"(51.1274203463215, -114.194895145176)",1
Northbound Crowchild Trail at 16 Avenue NW,2 vehicle incident.,02/11/2017 02:20:18 PM,02/11/2017 02:21:16 PM,NW,-114.117827824447,51.0685424382308,"(51.0685424382308, -114.117827824447)",1
Eastbound Stoney Trail at Shaganappi Trail NW,Single vehicle incident.,02/11/2017 02:39:20 PM,02/11/2017 02:45:17 PM,NW,-114.147933369876,51.1527364456253,"(51.1527364456253, -114.147933369876)",1
Eastbound Glenmore Trail at Blackfoot Trail SE,Multi vehicle incident.,02/11/2017 02:34:54 PM,02/11/2017 02:45:17 PM,SE,-114.046713027837,50.9942972019836,"(50.9942972019836, -114.046713027837)",1
Northbound Crowchild Trail at 17 Avenue SW,Single vehicle incident.,02/11/2017 04:53:08 PM,02/11/2017 04:54:06 PM,SW,-114.112959987034,51.0382141189432,"(51.0382141189432, -114.112959987034)",1
Country Hills Boulevard at 68 Street NE,2 vehicle incident.,02/11/2017 08:50:16 PM,02/11/2017 08:51:09 PM,NE,-113.935087494739,51.1543255500059,"(51.1543255500059, -113.935087494739)",1
24 Avenue at 4 Street SW,Traffic signal is on flash. The crews have been dispatched.,02/11/2017 09:11:57 PM,02/11/2017 09:12:50 PM,SW,-114.071508713701,51.031537331825,"(51.031537331825, -114.071508713701)",1
Elbow Drive at 4 Street SW,Traffic signal is on flash. The crews have been dispatched.,02/11/2017 09:10:54 PM,02/11/2017 09:12:50 PM,SW,-114.071511873287,51.0296995540049,"(51.0296995540049, -114.071511873287)",1
Memorial Drive at 52 Street NE,2 vehicle incident,02/11/2017 11:44:35 PM,02/11/2017 11:45:49 PM,NE,-113.955777428558,51.0533545506767,"(51.0533545506767, -113.955777428558)",1
1 Street at 17 Avenue SE,2 vehicle incident,02/12/2017 05:00:15 AM,02/12/2017 05:01:16 AM,SE,-114.061121382101,51.0378326346352,"(51.0378326346352, -114.061121382101)",1
Panatella Boulevard at Panatella Street NW,2 vehicle incident.,02/12/2017 09:02:06 AM,02/12/2017 09:04:04 AM,NW,-114.091805721146,51.1682505152164,"(51.1682505152164, -114.091805721146)",1
Northbound Crowchild Trail at Glenmore Trail SW,Single vehicle incident blocking the left lane.,02/12/2017 11:46:22 AM,02/12/2017 11:50:29 AM,SW,-114.121071289426,51.0009971347515,"(51.0009971347515, -114.121071289426)",1
Northbound Coventry Hills Boulevard at Country Village Landing NE,2 vehicle incident.,02/12/2017 12:10:19 PM,02/12/2017 12:14:14 PM,NE,-114.052958389878,51.157315028583,"(51.157315028583, -114.052958389878)",1
Northbound 52 Street at 130 Avenue SE,2 vehicle incident.,02/12/2017 12:40:35 PM,02/12/2017 12:42:12 PM,SE,-113.958800382341,50.931567762864,"(50.931567762864, -113.958800382341)",1
Northbound 52 Street at Rundlehorn Drive NE,2 vehicle incident.,02/12/2017 01:46:12 PM,02/12/2017 01:48:45 PM,NE,-113.958503881939,51.0716745036521,"(51.0716745036521, -113.958503881939)",1
Stoney Trail and Deerfoot Trail NE,Single vehicle incident on the ramp from westbound Stoney Trail to northbound Deerfoot Trail.,02/12/2017 03:35:26 PM,02/12/2017 03:37:35 PM,NE,-113.990946789022,51.1762740182178,"(51.1762740182178, -113.990946789022)",1
Eastbound Mcknight Boulevard at 52 Street NE,2 vehicle incident.,02/12/2017 04:24:00 PM,02/12/2017 04:25:16 PM,NE,-113.956317565907,51.0959581404893,"(51.0959581404893, -113.956317565907)",1
Westbound Richmond Road at Sarcee Trail SW,Single vehicle incident.,02/12/2017 06:35:47 PM,02/12/2017 06:46:59 PM,SW,-114.166911166039,51.0180695293347,"(51.0180695293347, -114.166911166039)",1
On the ramp from Southbound Metis Trail to Westbound McKnight Boulevard NE,2 vehicle incident.,02/13/2017 06:41:50 AM,02/13/2017 06:44:19 AM,NE,-113.989607026833,51.0955687653163,"(51.0955687653163, -113.989607026833)",1
On the ramp from Memorial Drive to Southbound Deerfoot Trail NE,Multi vehicle incident.,02/13/2017 06:55:30 AM,02/13/2017 06:57:17 AM,NE,-114.019133128011,51.0535627199567,"(51.0535627199567, -114.019133128011)",1
Eastbound Anderson Road approaching Macleod Trail SE,2 vehicle incident.,02/13/2017 07:35:57 AM,02/13/2017 07:36:50 AM,SE,-114.075373268765,50.9505553445019,"(50.9505553445019, -114.075373268765)",1
On the ramp from Southbound Deerfoot Trail to Eastbound Glenmore Trail SE,Multi vehicle incident.,02/13/2017 11:52:00 AM,02/13/2017 11:52:49 AM,SE,-114.039173086226,50.9941566757218,"(50.9941566757218, -114.039173086226)",1
Nortbound 5 Street at Glenmore Trail SW,Multi vehicle incident.,02/13/2017 02:26:12 PM,02/13/2017 02:27:26 PM,SW,-114.077058299052,50.9946015254432,"(50.9946015254432, -114.077058299052)",1
14 Street at 75 Avenue SW,"Signal lights are flashing red, crews have been dispatched.",02/13/2017 03:07:54 PM,02/13/2017 03:09:43 PM,SW,-114.096251526404,50.988136646003,"(50.988136646003, -114.096251526404)",1
Southbound Deerfoot Trail north of Glenmore Trail SE,Multi-vehicle incident in the right lane.,02/13/2017 03:45:30 PM,02/13/2017 03:52:23 PM,SE,-114.039173086226,50.9941566757218,"(50.9941566757218, -114.039173086226)",1
68 Street at McKnight Boulevard NE,2 vehicle incident in the intersection.,02/13/2017 05:11:39 PM,02/13/2017 05:15:52 PM,NE,-113.937278593851,51.0961637010527,"(51.0961637010527, -113.937278593851)",1
Heritage Drive at 11 Street SE,2 vehicle incident.,02/13/2017 05:53:27 PM,02/13/2017 05:54:27 PM,SE,-114.039872969247,50.9868654273733,"(50.9868654273733, -114.039872969247)",1
Eastbound Country Hills Boulevard approaching Beddington Trail NW,2 vehicle incident in the left lane.,02/13/2017 06:02:42 PM,02/13/2017 06:19:52 PM,NW,-114.096351032635,51.1430823729571,"(51.1430823729571, -114.096351032635)",1
Southbound Crowchild Trail at 50 Avenue SW,2 vehicle incident in the right lane.,02/13/2017 06:18:30 PM,02/13/2017 06:19:52 PM,SW,-114.120158337838,51.0086677240943,"(51.0086677240943, -114.120158337838)",1
Northbound Deerfoot Trail at 24 Street SE,2 vehicle incident.,02/13/2017 11:44:37 PM,02/13/2017 11:46:29 PM,SE,-114.011069831956,50.9508144056894,"(50.9508144056894, -114.011069831956)",1
Heritage Drive and Fairmount Drive SE,Incident involving a pedestrian.,02/14/2017 09:20:33 AM,02/14/2017 09:21:56 AM,SE,-114.059941842114,50.9795101859338,"(50.9795101859338, -114.059941842114)",1
14 Street and Glenmore Trail SW,Single vehicle incident on the ramp from northbound 14 Street to westbound Glenmore Trail.,02/14/2017 09:51:02 AM,02/14/2017 09:53:50 AM,SW,-114.097219983861,50.9948455746374,"(50.9948455746374, -114.097219983861)",1
Southbound 52 Street at 16 Avenue NE,2 vehicle incident.,02/14/2017 10:47:09 AM,02/14/2017 10:49:12 AM,NE,-113.958542819707,51.0681791444257,"(51.0681791444257, -113.958542819707)",1
John Laurie Boulevard and Sarcee Trail NW,2 vehicle incident in the intersection.,02/14/2017 12:44:06 PM,02/14/2017 12:45:39 PM,NW,-114.166662728697,51.1207624956051,"(51.1207624956051, -114.166662728697)",1
