INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Northbound Crowchild Trail at 17 Avenue SW,2 vehicle incident.,12/10/2016 07:03:10 PM,12/10/2016 07:14:35 PM,SW,-114.112959987034,51.0382141189432,"(51.0382141189432, -114.112959987034)",1
Eastbound Memorial Drive at 5 Avenue SE,Single vehicle incident.,12/10/2016 06:35:41 PM,12/10/2016 06:52:13 PM,SE,-114.050335537362,51.0506017623507,"(51.0506017623507, -114.050335537362)",1
Northbound Deerfoot Trail at Glenmore Trail SE,Single vehicle incident.,12/10/2016 05:32:03 PM,12/10/2016 05:51:46 PM,SE,-114.039173086151,50.9941565858237,"(50.9941565858237, -114.039173086151)",1
Crowchild Trail at Glenmore Trail SW,Single vehicle incident.,12/10/2016 04:49:46 PM,12/10/2016 04:50:56 PM,SW,-114.121071289426,51.0009971347515,"(51.0009971347515, -114.121071289426)",1
Westbound Crowchild Trail at Shaganappi Trail NW,Single vehicle incident.,12/10/2016 04:35:41 PM,12/10/2016 04:50:56 PM,NW,-114.152734549261,51.1001944351718,"(51.1001944351718, -114.152734549261)",1
Stoney Trail at 16 Avenue SE,Single vehicle incident.,12/10/2016 03:18:10 PM,12/10/2016 03:21:23 PM,SE,-113.929731671065,51.0670302472081,"(51.0670302472081, -113.929731671065)",1
85 Street at 17 Avenue SW,Single vehicle incident.,12/10/2016 02:54:18 PM,12/10/2016 02:55:15 PM,SW,-114.211374470743,51.0380122084253,"(51.0380122084253, -114.211374470743)",1
Northbound Crowchild Trail at 33 Avenue SW,2 vehicle incident.,12/12/2016 12:10:02 PM,12/12/2016 12:17:16 PM,SW,-114.119485937702,51.0242099467767,"(51.0242099467767, -114.119485937702)",1
Eastbound John Laurie Boulevard at Sarcee Trail NW,2 vehicle incident.,12/12/2016 09:44:09 AM,12/12/2016 09:46:07 AM,NW,-114.167809008179,51.1216653922641,"(51.1216653922641, -114.167809008179)",1
Eastbound Richmond Road at 50 Street SW,2 vehicle incident.,12/12/2016 07:41:19 AM,12/12/2016 07:51:25 AM,SW,-114.159884928072,51.0179275166628,"(51.0179275166628, -114.159884928072)",1
Walden Gate at 194 Avenue SE,2 vehicle incident.,12/11/2016 06:57:29 PM,12/11/2016 06:58:18 PM,SE,-114.036685445596,50.8769579240784,"(50.8769579240784, -114.036685445596)",1
Westboumd 16 Avenue at Deerfoot Trail NE,2 vehicle incident.,12/11/2016 09:19:09 AM,12/11/2016 09:21:30 AM,NE,-114.028551292521,51.0673798693422,"(51.0673798693422, -114.028551292521)",1
Northbound Stoney Trail at 16 Avenue NE,Single vehicle incident,12/10/2016 10:26:08 PM,12/10/2016 10:27:31 PM,NE,-113.920052543414,51.067898636232,"(51.067898636232, -113.920052543414)",1
Northbound Deerfoot Trail at Southland Drive SE,2 vehicle incident.,12/10/2016 08:47:41 PM,12/10/2016 08:48:53 PM,SE,-114.036221957724,50.9705894403798,"(50.9705894403798, -114.036221957724)",1
Eastbound Glenmore Trail at Deerfoot Trail SE,Single vehicle incident.,12/10/2016 07:54:20 PM,12/10/2016 07:55:33 PM,SE,-114.039173086151,50.9941565858237,"(50.9941565858237, -114.039173086151)",1
Eastbound Glenmore Trail at Deerfoot Trail SE,Single vehicle incident.,12/10/2016 06:31:02 PM,12/10/2016 06:52:13 PM,SE,-114.039173086151,50.9941565858237,"(50.9941565858237, -114.039173086151)",1
Eastbound Glenmore Trail at Elbow Drive SW,Single vehicle incident.,12/10/2016 06:14:09 PM,12/10/2016 06:20:34 PM,SW,-114.083916014515,50.9946277261426,"(50.9946277261426, -114.083916014515)",1
16 Avenue at Banff Trail NW,2 vehicle incident.,12/10/2016 06:01:33 PM,12/10/2016 06:20:34 PM,NW,-114.112762314553,51.0673844365976,"(51.0673844365976, -114.112762314553)",1
